corpus,vocab_size,tokenizer,tokens_per_sentence,tokens_per_char
chinese_origin,8000,custom_bpe,560.1826827462972,0.6259194479658189
chinese_origin,16000,custom_bpe,560.1826827462972,0.6259194479658189
chinese_origin,32000,custom_bpe,393.50437753736423,0.43968164376810737
chinese_origin,64000,custom_bpe,354.3553917353889,0.3959385714877174
pinyin_toned,8000,custom_bpe,748.7847492729027,0.33815476944190287
pinyin_toned,16000,custom_bpe,402.13697841511464,0.1816069803131975
pinyin_toned,32000,custom_bpe,366.527704465761,0.1655256621052213
pinyin_toned,64000,custom_bpe,346.94514433536943,0.15668208441162523
pinyin_toneless,8000,custom_bpe,575.3026145598911,0.3246076371580884
pinyin_toneless,16000,custom_bpe,384.78959409649275,0.21711293809821416
pinyin_toneless,32000,custom_bpe,352.1486717856315,0.1986956870761673
pinyin_toneless,64000,custom_bpe,335.40201568586406,0.18924658615212014
pinyin_diacritic,8000,custom_bpe,710.7117554261276,0.39963305789412823
pinyin_diacritic,16000,custom_bpe,400.1211579726507,0.22498803582174648
pinyin_diacritic,32000,custom_bpe,364.5479510433567,0.2049852296830882
pinyin_diacritic,64000,custom_bpe,344.88535412819346,0.19392895592462903
